Alarm ID,Alarm Name,Description,Probable Causes,Proposed Action
149,OP11 Transceiver Failure Alarm,OP-transceiver (SFP) failure,"a). SFP not installed, or removed
b). SFP has failed
c). Fibre cable is disconnected
d). Optical modules of two sides do not pair","a). Disable this alarm for uniused optical ports
b). Verify if SFP is plugged in and connected. Replace if failed.
c). Check if the fiber cable is broken or connector is dirty
d). Check if the SFP modules of two sides are a mated pair"
150,OP12 Transceiver Failure Alarm,OP-transceiver (SFP) failure,"a). SFP not installed, or removed
b). SFP has failed
c). Fibre cable is disconnected
d). Optical modules of two sides do not pair","a). Disable this alarm for uniused optical ports
b). Verify if SFP is plugged in and connected. Replace if failed.
c). Check if the fiber cable is broken or connector is dirty
d). Check if the SFP modules of two sides are a mated pair"
151,OP13 Transceiver Failure Alarm,OP-transceiver (SFP) failure,"a). SFP not installed, or removed
b). SFP has failed
c). Fibre cable is disconnected
d). Optical modules of two sides do not pair","a). Disable this alarm for uniused optical ports
b). Verify if SFP is plugged in and connected. Replace if failed.
c). Check if the fiber cable is broken or connector is dirty
d). Check if the SFP modules of two sides are a mated pair"
152,OP14 Transceiver Failure Alarm,OP-transceiver (SFP) failure,"a). SFP not installed, or removed
b). SFP has failed
c). Fibre cable is disconnected
d). Optical modules of two sides do not pair","a). Disable this alarm for uniused optical ports
b). Verify if SFP is plugged in and connected. Replace if failed.
c). Check if the fiber cable is broken or connector is dirty
d). Check if the SFP modules of two sides are a mated pair"
153,OP15 Transceiver Failure Alarm,OP-transceiver (SFP) failure,"a). SFP not installed, or removed
b). SFP has failed
c). Fibre cable is disconnected
d). Optical modules of two sides do not pair","a). Disable this alarm for uniused optical ports
b). Verify if SFP is plugged in and connected. Replace if failed.
c). Check if the fiber cable is broken or connector is dirty
d). Check if the SFP modules of two sides are a mated pair"
154,OP16 Transceiver Failure Alarm,OP-transceiver (SFP) failure,"a). SFP not installed, or removed
b). SFP has failed
c). Fibre cable is disconnected
d). Optical modules of two sides do not pair","a). Disable this alarm for uniused optical ports
b). Verify if SFP is plugged in and connected. Replace if failed.
c). Check if the fiber cable is broken or connector is dirty
d). Check if the SFP modules of two sides are a mated pair"
155,MML Failure Alarm,"Master AU fails to detect heartbeat from NMS/LMS. This alarm is displayed in OMT only, and will not generate an SNMP trap","a). Networking connection issue
b). LMS/NMS is down
c). LMS/NMS is removed from system","a). Ping the LMS server IP address to see if the server is alive
b). Check if the LMS/NMS is down or removed from system
c). Check the connection of AU and server"
158,Management Link Alarm,NMS/LMS fails to detect heartbeat from Primary AU,"a). Networking connection issue
b). Heartbeat of AU is not configured
c). AU is down
d). AU is removed from system","a). Use the server computer to ping AU IP address to see if the AU is alive
b). Check the heartbeat of AU
c). Check if the AU is down or removed from system
d). Check the connection of AU and server"
159,Radio Module3 Open Load Alarm,,"a). The RF Antenna port is not connected to a load or antenna
b). RF Connector is loose
c). Antenna issue","a). Check if the RU output port is open-load or connector is loose
b). Check if the RU's connection to combiner is incorrect
c). Check the antenna
d). Check if feed cable is wet or dirty inside"
160,Radio Module4 Open Load Alarm,,"a). The RF Antenna port is not connected to a load or antenna
b). RF Connector is loose
c). Antenna issue","a). Check if the RU output port is open-load or connector is loose
b). Check if the RU's connection to combiner is incorrect
c). Check the antenna
d). Check if feed cable is wet or dirty inside"
161,NTP Alarm," The NTP Service is ON (ntp Switch is set to ON), but the NTP Update request fails in 3 or more successive attempts.","a). NTP IP hasn't been configured
b). Network connection issue
c). NTP server is down","a). Verify NTP IP configured
b). Ping the NTP IP to see if the server is alive"
162,ESF Function Activated Alarm,,a). Shutdown manually,a). Turn on OP switch
163,FAN 1 Alarm,"Internal temperature of the Device exceeds safe working threshold.
Or the fan1 isn't working normally.","a). Installation of equipment does not allow for adequate air circulation
b). Fan1 unit for this equipment has failed.
c). Ambient air temperature within the equipment room has elevated beyond working range.","a). Check the device temperature and threshold in OMT. The default threshold is 95oC
b). Check if the separation of between adjacent AUs is too close without fan
c). Check if there is no ventilation or air condition for cooling temperature"
164,FAN 2 Alarm,"Internal temperature of the Device exceeds safe working threshold.
Or the fan2 isn't working normally.","a). Installation of equipment does not allow for adequate air circulation
b). Fan2 unit for this equipment has failed.
c). Ambient air temperature within the equipment room has elevated beyond working range.","a). Check the device temperature and threshold in OMT. The default threshold is 95oC
b). Check if the separation of between adjacent AUs is too close without fan
c). Check if there is no ventilation or air condition for cooling temperature"
165,Radio Module 1 Service Off Alarm,RF Signal Switch for the Module is disabled.,RF Signal Switch for the Module is disabled via user or misclicking,"a) Check if this module is planned to be disabled.
b) Check if the remote unit is synchronized to system and displayed in DAS Topo"
166,Radio Module 2 Service Off Alarm,RF Signal Switch for the Module is disabled.,RF Signal Switch for the Module is disabled via user or misclicking,"a) Check if this module is planned to be disabled.
b) Check if the remote unit is synchronized to system and displayed in DAS Topo"
167,Radio Module 3 Service Off Alarm,RF Signal Switch for the Module is disabled.,RF Signal Switch for the Module is disabled via user or misclicking,"a) Check if this module is planned to be disabled.
b) Check if the remote unit is synchronized to system and displayed in DAS Topo"
168,Radio Module 4 Service Off Alarm,RF Signal Switch for the Module is disabled.,RF Signal Switch for the Module is disabled via user or misclicking,"a) Check if this module is planned to be disabled.
b) Check if the remote unit is synchronized to system and displayed in DAS Topo"
169,Radio Module 5 Service Off Alarm,RF Signal Switch for the Module is disabled.,RF Signal Switch for the Module is disabled via user or misclicking,"a) Check if this module is planned to be disabled.
b) Check if the remote unit is synchronized to system and displayed in DAS Topo"
170,Radio Module 6 Service Off Alarm,RF Signal Switch for the Module is disabled.,RF Signal Switch for the Module is disabled via user or misclicking,"a) Check if this module is planned to be disabled.
b) Check if the remote unit is synchronized to system and displayed in DAS Topo"
171,Radio Module 7 Service Off Alarm,RF Signal Switch for the Module is disabled.,RF Signal Switch for the Module is disabled via user or misclicking,"a) Check if this module is planned to be disabled.
b) Check if the remote unit is synchronized to system and displayed in DAS Topo"
172,Radio Module 8 Service Off Alarm,RF Signal Switch for the Module is disabled.,RF Signal Switch for the Module is disabled via user or misclicking,"a) Check if this module is planned to be disabled.
b) Check if the remote unit is synchronized to system and displayed in DAS Topo"
173,Power1 Failure Alarm,,"a).External supply has failed
b).Internal power supply has failed
c).Power cable has become dislodged","a). Check if the electric supply is powered off
b). Check the power cable
c). Check if the equipment will power up and replace if necessary"
174,Power2 Failure Alarm,,"a).External supply has failed
b).Internal power supply has failed
c).Power cable has become dislodged","a). Check if the electric supply is powered off
b). Check the power cable
c). Check if the equipment will power up and replace if necessary"
175,Radio Module1 UL Output Over-power Alarm,,"a). The UL input signal exceeds system design parameters
b). The system gain settings have been changed","a). Compare expected UL output power to the alarm threshold.
b). Verify the input power from all BTS has not changed
c). Verify attenuation setting in AU and RU have not changed
d). Adjust attenuator settings as necessary"
176,Radio Module2 UL Output Over Power Alarm,,"a). The UL input signal exceeds system design parameters
b). The system gain settings have been changed","a). Compare expected UL output power to the alarm threshold.
b). Verify the input power from all BTS has not changed
c). Verify attenuation setting in AU and RU have not changed
d). Adjust attenuator settings as necessary"
177,Radio Module5 VSWR Alarm,,"a). Feed cable issue (wet/dirt inside/bent/damaged)
b). RF connector is loose
c). Antenna issue
d). Wrong connection to filter port","a). Check the VSWR value and alarm threshold. The default threshold is 2.5
b). Check if the RU output port is open-load or connector is loose (use correct torque wrench)
c). Check RU port connection to combiner is incorrect band
d). Check the feed cable and antenna"
178,Radio Module6 VSWR Alarm,,"a). Feed cable issue (wet/dirt inside/bent/damaged)
b). RF connector is loose
c). Antenna issue
d). Wrong connection to filter port","a). Check the VSWR value and alarm threshold. The default threshold is 2.5
b). Check if the RU output port is open-load or connector is loose (use correct torque wrench)
c). Check RU port connection to combiner is incorrect band
d). Check the feed cable and antenna"
179,Radio Module7 VSWR Alarm,,"a). Feed cable issue (wet/dirt inside/bent/damaged)
b). RF connector is loose
c). Antenna issue
d). Wrong connection to filter port","a). Check the VSWR value and alarm threshold. The default threshold is 2.5
b). Check if the RU output port is open-load or connector is loose (use correct torque wrench)
c). Check RU port connection to combiner is incorrect band
d). Check the feed cable and antenna"
180,Radio Module8 VSWR Alarm,,"a). Feed cable issue (wet/dirt inside/bent/damaged)
b). RF connector is loose
c). Antenna issue
d). Wrong connection to filter port","a). Check the VSWR value and alarm threshold. The default threshold is 2.5
b). Check if the RU output port is open-load or connector is loose (use correct torque wrench)
c). Check RU port connection to combiner is incorrect band
d). Check the feed cable and antenna"
181,Radio Module5 Open Load Alarm,,"a). The RF Antenna port is not connected to a load or antenna
b). RF Connector is loose
c). Antenna issue","a). Check if the RU output port is open-load or connector is loose
b). Check if the RU's connection to combiner is incorrect
c). Check the antenna
d). Check if feed cable is wet or dirty inside"
182,Radio Module6 Open Load Alarm,,"a). The RF Antenna port is not connected to a load or antenna
b). RF Connector is loose
c). Antenna issue","a). Check if the RU output port is open-load or connector is loose
b). Check if the RU's connection to combiner is incorrect
c). Check the antenna
d). Check if feed cable is wet or dirty inside"
183,Radio Module7 Open Load Alarm,,"a). The RF Antenna port is not connected to a load or antenna
b). RF Connector is loose
c). Antenna issue","a). Check if the RU output port is open-load or connector is loose
b). Check if the RU's connection to combiner is incorrect
c). Check the antenna
d). Check if feed cable is wet or dirty inside"
184,Radio Module7 Open Load Alarm,,"a). The RF Antenna port is not connected to a load or antenna
b). RF Connector is loose
c). Antenna issue","a). Check if the RU output port is open-load or connector is loose
b). Check if the RU's connection to combiner is incorrect
c). Check the antenna
d). Check if feed cable is wet or dirty inside"
185,Version Mismatched  Alarm,The firmware package is not successfully upgraded ,"a). Wrong model in the type file in the package
b). Signature file verification failed
c). Failed to decompress package","a). Upgrade the correct package
b). The host is powered off"
